evaluation_id,category,score,model_version,date
eval_1179,tool_calling,66.4,model-v3,2025-01-06
eval_0866,reasoning,95.2,model-v3,2025-01-29
eval_0102,knowledge,60.1,model-v1,2025-04-19
eval_0440,reasoning,99.0,model-v2,2025-04-09
eval_0059,reasoning,51.6,model-v1,2025-04-17
eval_1121,tool_calling,90.5,model-v3,2025-05-24
eval_0324,tool_calling,89.6,model-v1,2025-05-09
eval_0975,code,89.3,model-v3,2025-04-16
eval_0412,reasoning,64.1,model-v2,2025-02-12
eval_0856,reasoning,70.0,model-v3,2025-03-16
eval_0821,reasoning,72.9,model-v3,2025-04-04
eval_0045,reasoning,63.4,model-v1,2025-02-09
eval_0050,reasoning,62.8,model-v1,2025-03-09
eval_0850,reasoning,72.1,model-v3,2025-02-10
eval_0241,instruction_following,76.1,model-v1,2025-04-27
eval_0171,code,98.6,model-v1,2025-05-24
eval_0524,knowledge,65.9,model-v2,2025-01-02
eval_0766,tool_calling,59.2,model-v2,2025-01-05
eval_0839,reasoning,71.0,model-v3,2025-03-27
eval_0424,reasoning,56.9,model-v2,2025-05-31
eval_0381,tool_calling,39.4,model-v1,2025-01-12
eval_0610,code,67.8,model-v2,2025-01-19
eval_0677,instruction_following,80.8,model-v2,2025-05-03
eval_0345,tool_calling,69.8,model-v1,2025-02-09
eval_0110,knowledge,71.6,model-v1,2025-05-21
eval_0278,instruction_following,78.1,model-v1,2025-01-21
eval_0678,instruction_following,84.9,model-v2,2025-02-20
eval_0571,code,86.6,model-v2,2025-01-10
eval_0359,tool_calling,60.7,model-v1,2025-01-26
eval_0599,code,78.8,model-v2,2025-02-12
eval_0391,tool_calling,51.3,model-v1,2025-03-04
eval_0894,knowledge,70.1,model-v3,2025-04-03
eval_0693,instruction_following,80.0,model-v2,2025-02-05
eval_0728,tool_calling,40.7,model-v2,2025-05-05
eval_0363,tool_calling,62.4,model-v1,2025-04-18
eval_0597,code,69.1,model-v2,2025-02-19
eval_0428,reasoning,87.0,model-v2,2025-05-04
eval_0071,reasoning,46.7,model-v1,2025-03-16
eval_0322,tool_calling,29.7,model-v1,2025-03-30
eval_0653,instruction_following,79.0,model-v2,2025-03-08
eval_1066,instruction_following,85.2,model-v3,2025-03-08
